"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @paramedickiwi: Back to paparazzi photos of the #FernoSim teams + winning the @AUTuni team #PAIC2014 http://t.co/7N4lxMCF3n",FALSE,0,NA,2014-09-20 23:39:39,FALSE,NA,"513472586810814465",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BerkowitzGary",5,TRUE,FALSE,NA,NA
"RT @Straps_01: @paramedickiwi @arban70 @GoodSamApp there were approx 200 registered responders about a month ago. Would love to see that x3…",FALSE,0,NA,2014-09-20 23:32:06,FALSE,NA,"513470688066154497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paramedickiwi",3,TRUE,FALSE,NA,NA
"RT @EMurgentologist: MT @EMS_Junkie Pressure drops when CPR stopped. Like pumping a tyre with a hole in it. #spa2014conf #PAIC2014 http://t…",FALSE,0,NA,2014-09-20 23:08:25,FALSE,NA,"513464726072737792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NodakEM",1,TRUE,FALSE,NA,NA
"RT @PAIC2014: Prof Brian Maguire in interview with @SevenNewsroom on his research into #paramedic fatalities in Australia #PAIC2014 http://…",FALSE,0,NA,2014-09-20 23:00:12,FALSE,NA,"513462661414416384",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","arban70",6,TRUE,FALSE,NA,NA
"RT @jamieranse: Our poster at  #PAIC2014 Onsite health providers and ambulance paramedics at mass gatherings
http://t.co/H14Z9LGzeq http://…",FALSE,0,NA,2014-09-20 22:58:17,FALSE,NA,"513462176657702913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pbjpaulito",12,TRUE,FALSE,NA,NA
"Apologies to all my non-health friends whose news feeds were taken over by a paramedic conference in the last 3 days #PAIC2014",FALSE,6,NA,2014-09-20 22:51:15,FALSE,NA,"513460406824607744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Buck_Reed",1,FALSE,FALSE,NA,NA
"Well, in the Twittergeddon which was #PAIC2014 I seem to have picked up 40-odd followers and smashed out 400ish tweets in 3 days. Wow.",FALSE,6,NA,2014-09-20 22:48:35,FALSE,NA,"513459737468211201",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Buck_Reed",0,FALSE,FALSE,NA,NA
"RT @PAIC2014: Dear #NewZealand your #paramedic team just won the #FernoSim challenge!! #PAIC2014 http://t.co/5RzKj4Oowi",FALSE,0,NA,2014-09-20 22:44:47,FALSE,NA,"513458779677933568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLUMOpara",8,TRUE,FALSE,NA,NA
"RT @PAIC2014: The winners of the #PAIC2014 #FernoSim Challenge are Auckland University of Technology! Very well done New Zealand!!! http://…",FALSE,0,NA,2014-09-20 22:44:28,FALSE,NA,"513458701458345985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLUMOpara",13,TRUE,FALSE,NA,NA
"RT @PAIC2014: 2nd - Singapore civil defence #PAIC2014 #FernoSim http://t.co/n733xaK5ZE",FALSE,0,NA,2014-09-20 22:44:22,FALSE,NA,"513458676875538432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLUMOpara",7,TRUE,FALSE,NA,NA
"RT @CritcareJNR: RFDS, a great Not for profit supporting rural Australia #PAIC2014",FALSE,0,NA,2014-09-20 22:42:19,FALSE,NA,"513458157956259840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLUMOpara",1,TRUE,FALSE,NA,NA
"RT @AusParamedics: #PAIC2014 a great conference - congratulations to the organising committee!! Arrive curious, leave inspired #PAIC2015",FALSE,0,NA,2014-09-20 22:40:52,FALSE,NA,"513457795916517377",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Buck_Reed",4,TRUE,FALSE,NA,NA
"Well despite a rocky start, on the whole the best night I have spent after a conference dinner in a very long time. #PAIC2014 #backupplan",FALSE,0,NA,2014-09-20 22:38:26,FALSE,NA,"513457182453407744",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Buck_Reed",0,FALSE,FALSE,NA,NA
"@johnboy237 thanks John. I hope you enjoy the rest of your time in our beautiful country. #PAIC2014",FALSE,0,"johnboy237",2014-09-20 22:31:03,FALSE,"513392454884540416","513455326331301889","391570586","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Buck_Reed",0,FALSE,FALSE,NA,NA
"RT @AusParamedics: We welcome Simone Haigh &amp; Matthew Simpson to the PA Board of Directors! #PAIC2014",FALSE,0,NA,2014-09-20 22:30:03,FALSE,NA,"513455074249818113",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","arban70",6,TRUE,FALSE,NA,NA
"RT @paramedicpirate: Fantastic weekend @ #PAIC2014 &amp; #SPA2014Conf got so much out of it, about 20pgs of notes to decipher. Also fantastic t…",FALSE,0,NA,2014-09-20 22:29:16,FALSE,NA,"513454874361491456",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",3,TRUE,FALSE,NA,NA
"RT @FernoAU: Unglamorous behind the scenes pack up of @FernoAU #PAIC2014 expo booth. Great conf &amp; #FernoSim. How was it for you? @PAIC2014 …",FALSE,0,NA,2014-09-20 22:29:11,FALSE,NA,"513454853059018752",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",4,TRUE,FALSE,NA,NA
"RT @HansvanSchuppen: Death by hyperventilation: A common and life-threatening problem during #CPR. http://t.co/W2JgiEWapt #PAIC2014 #FOAMem…",FALSE,0,NA,2014-09-20 22:25:57,FALSE,NA,"513454040504889345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Reanimatieraad",9,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: We could have highly trained paramedics being on the phone for those out on road. #spa2014conf #PAIC2014",FALSE,0,NA,2014-09-20 22:25:46,FALSE,NA,"513453993234669568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",2,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: Some areas of Canada have registered paramedics, others don't. #spa2014conf #PAIC2014",FALSE,0,NA,2014-09-20 22:25:37,FALSE,NA,"513453958564560896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",4,TRUE,FALSE,NA,NA
"RT @PAIC2014: Sneak peek at next year #PAIC2015. @Cotts01 from @ParaAustSA. Come Curious... Leave Inspired! 1-3 Oct 2015  #PAIC2014 http://…",FALSE,0,NA,2014-09-20 22:25:28,FALSE,NA,"513453920459321345",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",8,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: Panel up. @buzz_para comments that @LAS_OpsDirector more tv time than @TeamAusEms #spa2014conf #PAIC2014 http://t.co/KqopeK…",FALSE,0,NA,2014-09-20 22:24:29,FALSE,NA,"513453672852766720",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",6,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: The right hospital is not always he closest hospital. #SPA2014conf #PAIC2014",FALSE,0,NA,2014-09-20 22:24:12,FALSE,NA,"513453599238930432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulcrouch33",3,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: Marc says the calibre of Australian paramedic education is world class. #spa2014conf #PAIC2014",FALSE,0,NA,2014-09-20 22:24:04,FALSE,NA,"513453566246154240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",8,TRUE,FALSE,NA,NA
"RT @CritcareJNR: Don't lay them flat! Significant impact on respiratory physiology #PAIC2014 http://t.co/IK8NKjPNHp",FALSE,0,NA,2014-09-20 22:24:02,FALSE,NA,"513453556582858752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulcrouch33",6,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: Ambulance services around the world are starting to hire &amp; train consultant paramedics. To replace medical advisors. #spa20…",FALSE,0,NA,2014-09-20 22:23:51,FALSE,NA,"513453512399650816",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",6,TRUE,FALSE,NA,NA
"RT @EMS_Junkie: Best way to describe ketamine experience is like a kaleidoscope #SPA2014conf #PAIC2014",FALSE,0,NA,2014-09-20 22:23:08,FALSE,NA,"513453330530840577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulcrouch33",5,TRUE,FALSE,NA,NA
"#FernoSim #PAIC2014 fantastic four good friends met and made great to see thestudents#SPA2014Conf",FALSE,0,NA,2014-09-20 22:22:36,FALSE,NA,"513453198237917185",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mickhels",0,FALSE,FALSE,NA,NA
